,video_name,rating-indoor,rating-expanse,rating-object,rating-agent_distance,rating-facingness,rating-joint_action,rating-communication,rating-valence,rating-arousal,stimulus_set,captions
0,-YwZOeyAQC8_15.mp4,1,0.225,0.8958333333333334,0.0,0.0454545454545454,0.7,0.55,0.65,0.3409090909090909,train,"['A man sits playing video games on his TV while holding a baby, with two small dogs resting on a nearby sofa', 'A man with a baby on his lap playing Wii', 'A man in shorts sits in a chair next to a standard lamp, with a smiling baby on his lap, operating a Wii remote controller, while two small dogs are sat on a nearby sofa', 'A man playing on the wii which is making the baby chuckle while the dog ignores them from the other sofa', 'father & child enjoying a show']"
1,1AIVH5cEWrI_35.mp4,1,0.25,0.1041666666666666,0.075,1.0,0.825,0.9,0.675,0.3409090909090909,train,"[""Two friends singing and swaying together while looking into each other's eyes."", 'Two women sing together.', 'Two girls are dancing close together and facing each other.', 'Two females learning how to sing together in harmony.', 'Two young women are facing one another and swaying side-to-side while singing. ']"
2,2-8-0-2-5-4-8-8-5028025488_7.mp4,1,0.275,1.0,0.0454545454545454,0.05,0.575,0.5,0.675,0.075,train,"['A young girl sits looks at a book, turning the pages, while a younger child looks over her shoulder', 'A little girl around 6 years old is paging through a picture with her toddler sister', 'two sisters reading a book', 'Two children reading a book together.', 'two young children reading a book together', 'two siblings reading the book', ""Two toddlers flipping through a children's book\n"", 'Two children are reading a picture book; the older one turns a page and looks at it intently while sitting, and the younger one stands and points at it.', 'A young girl is reading a book and her little sister points to something on the page', 'A girl in a pink dress is looking through a book and her sibling is standing next to her, watching as she does this ', 'Girl and boy watching book']"
4,7-5-1-0-3-6-9-8-3775103698_9.mp4,1,0.275,0.925,0.275,0.6363636363636364,0.75,0.825,0.7222222222222222,0.125,train,"['Q woman explaining a picture to a man.', 'two people discuss plans for a playground', 'One person is looking at and motioning towards a picture of a stadium and the other person is looking and listening.', 'Two people are looking at a basketball court map.', 'A woman is talking to another woman about a poster showing a playing field and gesturing her hands at the same time.']"
5,8-6-0-3-9-6-6-0-19586039660_4.mp4,1,0.325,0.95,0.2272727272727273,0.15,0.425,0.7272727272727273,0.65,0.35,train,"['two babies play with toy', 'Two kids playing with a toy dog.', 'two children interacting with what appears to be a toy dog.', 'Two small children are playing with a toy in their living room.', 'A girl and boy are playing with a toy cat, the girl picks something up and then sits down, the boy then reaches for his turn.', 'Kids playing with a teddy of cat or dog ']"
7,9jw7D-exQDg_77.mp4,1,0.125,1.0,0.3,0.575,0.75,0.9,0.75,0.3863636363636364,train,"['two children sit next to eachother with microphones in their hands and the girl in the red shirt watches the girl in the pattern shirt while she talks', 'A lady and a young girl sing into a microphone.', 'A little girl sings with a older female', 'Two girls, one significantly younger, sing into microphones at home.', '2 sisters are singing together']"
8,FJzKgF-nR0E_15.mp4,1,0.15,0.8,0.2954545454545455,0.95,0.5,0.6818181818181819,0.775,0.225,train,"['A woman playfully laughs at a child who looks back at her.', 'child playing with a baby', 'A baby is playing with there toys well an older girl is laughing with them.', 'The baby in the bouncy chair and the adult are enjoying a good time together.', 'A woman tries to entertain a baby.']"
9,FSQ2vBJ0hmw_20.mp4,1,0.2,0.225,0.1,0.0,0.1363636363636363,0.35,0.7777777777777778,0.225,train,"['Two babies are lying in the cot kicking their legs, one on his back the other is on his front', 'The babies are laying in the bed', 'Two very young babies are laying down on their backs and mildly squirming their legs. ', 'Two young babies are wriggling side by side in a cot.', 'Two young babies in baby gros together laid down.']"
10,IkTAuzVeD2Q_46.mp4,1,0.075,0.9,0.25,0.95,0.75,0.65,0.425,0.2,train,"['A child feeding another.', 'Two children are in a kitchen, the elder child is feeding the younger one.', 'A young girl who appears to perhaps be an elder sister is holding out a spoon of food and feeding it to a younger boy in a high chair wearing a bib. The young boy is taking the food and has food around his mouth and front.', 'Toddler feeding her baby brother or sister', 'one child feeding another in a highchair ']"
11,WJ-84ioZqcc_41.mp4,1,0.275,0.875,0.1,0.1,0.425,0.6,0.725,0.35,train,"['Two children play with toy balls on a bed.', 'two children playing', 'Two young children are playing on the bed', 'Two little brothers are laughing and playing together on a bed with their toys in their little hands.', 'Two children laugh and play with a basketball and a football. ']"
